순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
3074,P2000320170330000093341,Ⅲ-3. 다문화가족의 자립역량을 강화하고 다문화 수용성을 제고한다.,P2000220170625000076917,성과목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅲ. 일·생활 균형과 다양한 가족의 안정적 삶을 지원한다.>>Ⅲ-3. 다문화가족의 자립역량을 강화하고 다문화 수용성을 제고한다."
3075,P2000220170625000076924,Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.,P2000120170330000093328,전략목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다."
3076,P2000320170330000093346,4-2. 성매매를 근절하고 피해자 자립지원을 강화한다.,P2000220170625000076924,성과목표,2017-06-23,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>4-2. 성매매를 근절하고 피해자 자립지원을 강화한다."
3077,P2000420170330000093371,성매매 방지대책 추진 강화,P2000320170330000093346,관리과제,2017-06-23,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>4-2. 성매매를 근절하고 피해자 자립지원을 강화한다.>>성매매 방지대책 추진 강화"
3078,P2000420170330000093372,성매매 피해자 지원서비스 내실화,P2000320170330000093346,관리과제,2017-06-23,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>4-2. 성매매를 근절하고 피해자 자립지원을 강화한다.>>성매매 피해자 지원서비스 내실화"
3079,P2000320170330000093347,Ⅳ-1. 젠더폭력방지 추진기반을 구축하고 젠더폭력에 대한 인식을 개선하다.,P2000220170625000076924,성과목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>Ⅳ-1. 젠더폭력방지 추진기반을 구축하고 젠더폭력에 대한 인식을 개선하다."
3080,P2000420170330000093374,Ⅳ-1-① 젠더폭력방지 추진기반 구축 및 안전한 환경 조성,P2000320170330000093347,관리과제,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>Ⅳ-1. 젠더폭력방지 추진기반을 구축하고 젠더폭력에 대한 인식을 개선하다.>>Ⅳ-1-① 젠더폭력방지 추진기반 구축 및 안전한 환경 조성"
3081,P2000420170330000093373,Ⅳ-1-② 젠더폭력 예방교육 추진 및 교육 실효성 제고,P2000320170330000093347,관리과제,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>Ⅳ-1. 젠더폭력방지 추진기반을 구축하고 젠더폭력에 대한 인식을 개선하다.>>Ⅳ-1-② 젠더폭력 예방교육 추진 및 교육 실효성 제고"
3082,P2000420170907000097088,Ⅳ-1-③ 젠더폭력 인식개선활동 및 성희롱·성폭력 사건 재발방지 조치 강화,P2000320170330000093347,관리과제,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>Ⅳ-1. 젠더폭력방지 추진기반을 구축하고 젠더폭력에 대한 인식을 개선하다.>>Ⅳ-1-③ 젠더폭력 인식개선활동 및 성희롱·성폭력 사건 재발방지 조치 강화"
3083,P2000420170330000093375,Ⅳ-1-④ 아동·청소년 성보호를 위한 예방정책 강화,P2000320170330000093347,관리과제,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>Ⅳ-1. 젠더폭력방지 추진기반을 구축하고 젠더폭력에 대한 인식을 개선하다.>>Ⅳ-1-④ 아동·청소년 성보호를 위한 예방정책 강화"
3084,P2000320170330000093345,Ⅳ-2. 젠더폭력 피해자의 보호·지원을 확대한다.,P2000220170625000076924,성과목표,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>Ⅳ-2. 젠더폭력 피해자의 보호·지원을 확대한다."
3085,P2000420170330000093368,Ⅳ-2-① 성폭력 피해자 보호 제도개선 및 지원 확대,P2000320170330000093345,관리과제,2017-09-25,여성가족부,1383000,">>성평등한 환경조성, 여성·청소년·가족이 안전하고 역량을 발휘하는 사회구현>>Ⅳ. 젠더폭력으로부터 안전한 사회를 조성한다.>>Ⅳ-2. 젠더폭력 피해자의 보호·지원을 확대한다.>>Ⅳ-2-① 성폭력 피해자 보호 제도개선 및 지원 확대"
